hashtag_id,hashtag_text
63,
179,#계략녀
311,#헌신남
356,#블랙코미디
252,#이세계요리
323,#라이벌
270,
205,#범죄
380,#고자극스릴러
https://comic.naver.com/webtoon?tab=genre&genre=ACTION,#액션
271,
307,
92,#하이틴
103,
309,
266,
325,
51,
242,#던전물
188,#역사물
66,#소년왕도물
326,#자본주의
239,
262,
278,
255,
115,
353,#과거
203,#러블리
283,#햇살녀
295,
85,#직진남
67,
43,
339,#데스게임
249,
236,#공포
144,#2020 지상최대공모전
50,#레트로
385,#러브코미디
91,#퓨전사극
175,#궁중로맨스
255,#인생역전
175,
182,
379,#현대판타지
250,#미스터리
67,#스포츠성장
204,#고인물
144,
253,
127,
44,
94,#학원로맨스
73,#오피스로맨스
363,#열혈
89,#캠퍼스로맨스
131,#드라마&영화 원작웹툰
260,#드라마
293,
78,#이세계
40,
206,#해외작품
391,#농사
45,
354,#중세
41,
136,#야구
https://comic.naver.com/webtoon?tab=genre&genre=THRILL,#스릴러
302,#재벌남
205,
317,#용사
377,#정통무협
300,#유혹남
334,#소년물
335,#결혼생활
77,
53,
293,#연하남
361,#시리어스
224,
244,
265,#액션
264,#판타지
288,#외유내강녀
88,
337,#배틀
263,#인소감성
197,
386,#하렘
244,#사연녀
232,#무협/사극
https://comic.naver.com/curation/list?type=NOVEL_ORIGIN,
55,
298,#순정남
364,#감성적인
122,#아포칼립스
115,#동양풍판타지
285,#명랑녀
43,#까칠남
131,
128,#차원이동
316,#중년
392,#명작
35,#감성드라마
294,#나쁜남자
286,#군림녀
190,#비밀연애
140,#프리퀄
181,
133,#슈퍼스트링
281,
229,
95,#학원물
71,
63,#서스펜스
197,#집착물
271,#능력녀
358,#치명적인
219,#햇살캐
190,
200,#동아리
74,#음식&요리
79,
52,
389,#까칠녀
87,#청춘로맨스
297,
55,#뱀파이어
298,
221,
73,
185,
65,#성장드라마
231,#피카레스크
189,#짝사랑
37,
365,#리얼로맨스
189,
350,#서양
219,
129,
116,#밀리터리
357,#눈물샘자극
279,#평범녀
292,
254,
324,#가족
122,
58,
94,
44,#느와르
https://comic.naver.com/webtoon?tab=genre&genre=FANTASY,#판타지
93,
188,
82,
199,
145,
176,#로맨스코미디
342,#생존
42,
69,
299,
301,
143,#2019 지상최대공모전
https://comic.naver.com/curation/list?type=ADULT,#성인웹툰
182,#고자극로맨스
325,#우정
82,#전남친
330,#악역이주인공
64,
96,
