hashtag_id,hashtag_text
146,
183,#성별반전
270,#로맨틱코미디
283,#햇살녀
248,
285,#명랑녀
118,
59,
124,#오컬트
304,#평범남
57,
250,#미스터리
227,
319,#환생
246,#가벼운
91,#퓨전사극
395,#2024 연재직행열차
50,#레트로
360,#설렘폭발
146,#2019 최강자전
272,#무심녀
https://comic.naver.com/curation/list?type=FINISH_GENRE_DAILY,#완결일상
https://comic.naver.com/curation/list?type=FINISH_GENRE_DRAMA,
175,
40,#공감성수치
42,#구원서사
82,
https://comic.naver.com/curation/list?type=FINISH_GENRE_DRAMA,#완결드라마
129,#혐관로맨스
221,#무해한
122,
124,
89,
184,#환골탈태
https://comic.naver.com/curation/list?type=FINISH_GENRE_SPORTS,#완결스포츠
357,#눈물샘자극
https://comic.naver.com/curation/list?type=FINISH_GENRE_PURE,#완결로맨스
43,
155,#2021 최강자전
367,#학원액션
179,
46,#다크히어로
https://comic.naver.com/curation/list?type=FINISH_GENRE_HISTORICAL,
40,
314,#왕족/귀족
244,#사연녀
260,#드라마
343,#상태창
128,
175,#궁중로맨스
137,#축구
https://comic.naver.com/curation/list?type=NOVEL_ORIGIN,
303,#능력남
232,#무협/사극
337,#배틀
224,
220,#아이돌
41,
176,#로맨스코미디
273,#철벽녀
80,#인플루언서
289,#유혹녀
116,#밀리터리
57,#복수극
308,
77,
352,#미래
87,
378,#액션아포칼립스
37,#걸크러시
https://comic.naver.com/curation/list?type=FINISH_GENRE_SENSIBILITY,
45,
237,
386,#하렘
88,
65,
388,#순진남
180,#아이돌연애
306,#소심남
284,#연상녀
70,
74,#음식&요리
187,
148,#2017 최강자전
103,#sf
205,
241,#2022 최강자전
307,
182,
173,#법정드라마
76,#의학드라마
263,#인소감성
136,#야구
44,
https://comic.naver.com/webtoon?tab=genre&genre=SPORTS,#스포츠
52,#머니게임
349,#현대
377,#정통무협
227,#성장물
127,#직업드라마
347,#시대물
37,
247,#병맛
https://comic.naver.com/curation/list?type=ADULT,
340,#이능력
https://comic.naver.com/curation/list?type=FINISH_GENRE_FANTASY,#완결판타지
329,#할리퀸
