titleId,title,writers,weekday,age_rating,brief_text,interest_count,total_episodes,status,hashtags
758037,참교육,채용택 (글) 301243 / 한가람 (그림) https://comic.naver.com/community/u/_0borm?lastPage=EpisodeList,월요웹툰,15세 이용가,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!<부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!,"957,697",총 187화,연재 중,#액션 #사이다 #학원액션 #자극적인 #사회고발 #참교육 #블루스트링 #학원물
835531,최애캐의 고민상담소,네이버웹툰 작가 (글/그림) 305532,27화 완결,전체연령가,"올해도 걱정&고민 많은 당신, 당장 '최애캐의 고민상담소'로 오세요! 재치 있거나, 가슴 따듯해지는 해결법을 알려드릴게요. 2025년은 걱정 고민 탈탈 털고 행복만 가득하길 네이버웹툰이 바랍니다. ♥","27,491",총 27화,완결,#일상 #일상개그힐링 #감성적인 #공감 #청춘 #개그 #무해한 #힐링
822657,환생천마,JP (글) https://comic.naver.com/community/u/_21cqqm?lastPage=EpisodeList / 부겸 (그림) https://comic.naver.com/community/u/_sxqt3?lastPage=EpisodeList / 장영훈 (원작) 376586,월요웹툰,15세 이용가,"철혈의 맹주, 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박, 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고, 전생에서 이루지 못한 경지에 오르고자 한다.","169,609",총 60화,연재 중,#무협/사극 #사이다 #동양 #환생 #액션 #고인물 #환골탈태 #동양풍판타지
774866,똑 닮은 딸,이담 (글/그림) https://comic.naver.com/community/u/_dboz2?lastPage=EpisodeList,월요웹툰,15세 이용가,"'우리 엄마가 살인마인 것 같다.' 성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러!2020 지상최대공모전 2기 우수상 수상작.","685,501",총 150화,연재 중,#스릴러 #명작 #고자극드라마 #자극적인 #시리어스 #미스터리 #범죄
796075,절대검감,김두루미 (글) 356299 / 티아이 (그림) 356300 / 한중월야 (원작) 347598,월요웹툰,12세 이용가,"단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다.어느 날, 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전, 혈교에 납치되던 그 날로 돌아가게 되고 검의 목소리를 듣는 신비한 능력을 얻는다.","219,640",총 125화,연재 중,#무협/사극 #동양 #이능력 #모험 #액션 #성장물 #환골탈태 #회귀 #판무
602910,윈드브레이커,조용석 (글/그림) https://comic.naver.com/community/u/_bboq6?lastPage=EpisodeList,월요웹툰,12세 이용가,혼자서 자전거를 즐겨타던 모범생 조자현.원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,"1,187,591",총 538화,연재 중,#스포츠 #현대 #우정 #라이벌 #청춘 #성장물 #학원물 #성장드라마
830015,어느날 갑자기 가슴이 커짐,물렁이 (글/그림) 382241,29화 완결,전체연령가,"이것은 행운인가 불운인가? 어느날 갑자기 예상치 못하게 가슴 사이즈가 A컵에서 H컵이 된다면?!단순하게만 생각했던 신체의 변화는 점점 걷잡을 수 없이 흘러가고,아무도 이 상황에 대한 진단을 내려주지 못하는 가운데, 정신적으로도 변화가 생기며 인생 최대의 위기를 맞게 되는데... 가슴이 커진다는 판타지 같은 일을 통해 삶과 죽음이라는 정말로 현실적이고 가장 기본적인 인생의 가치와 가족의 의미에 대해 다시 한 번 깨닫게 되는 이야기. 연재직행열차","71,878",총 29화,완결,#일상 #2024 연재직행열차 #감성적인 #공감 #하이퍼리얼리즘 #완결무료 #완결일상
654774,소녀의 세계,모랑지 (글/그림) https://comic.naver.com/community/u/_nboqm?lastPage=EpisodeList,월요웹툰,전체연령가,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,"1,123,259",총 453화,연재 중,#드라마 #설렘폭발 #공감 #우정 #청춘 #외유내강녀 #명랑녀 #햇살녀
834886,노곤하개 쇼츠,홍끼 (글/그림) https://comic.naver.com/community/u/_b2df9d?lastPage=EpisodeList,"월, 목 연재",전체연령가,이제는 개 셋! 고양이 셋! 6마리의 동물들과 함께 사는 일상은 과연 어떨까?!,"66,633",총 33화,연재 중,#일상
795297,신화급 귀속 아이템을 손에 넣었다,정선율 (글/원작) https://comic.naver.com/community/u/jungseonyul?lastPage=EpisodeList / 헤스 (그림) https://comic.naver.com/community/u/hess?lastPage=EpisodeList,월요웹툰,15세 이용가,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현. 그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다.신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!","383,876",총 122화,연재 중,#판타지 #사이다 #아카데미물 #아포칼립스 #게임판타지 #회귀 #헌터물 #먼치킨
183559,신의 탑,SIU (글/그림) 155779,653화,12세 이용가,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년그리고 그런 소년을 시험하는 탑,"1,907,018",총 653화,휴재,#판타지 #명작 #이능력 #배틀 #모험 #전쟁 #액션 #성장물 #서바이벌
817859,왕과의 야행,보리 (글/그림) 372337,월요웹툰,18세 이용가,젊은 왕과 아름다운 여인이 발을 사이에 두고 앉아있다.가느다란 흰 손가락으로 책장을 넘기는 여인은고혹적인 목소리로 글을 읽어 내려가는데...전하. 음양이란 서로 감응해야 응하는 것이옵니다.몸과 마음이 무르익어 한 배에 탄 채 애락을 느끼니그 어찌 화락하지 않으오리까?백일의 겨울밤 동안 왕에게 책을 읽어주는 여인.아슬아슬한 긴장감 끝에 순식간에 휩쓸린다.서로에게 깃들고 스며든다.숨겨뒀던 비밀이 터져 나와 모든 것을 깨울 때까지왕과 여인은 그저 꿈 안에 있구나.,"285,249",총 59화,연재 중,#로맨스 #동양풍로맨스 #자극적인 #동양 #왕족/귀족 #나쁜남자 #공식미녀
783052,퀘스트지상주의,박만사 (글/그림) https://comic.naver.com/community/u/ptjcomics?lastPage=EpisodeList / 유누니 (글) https://comic.naver.com/community/u/_pidqu?lastPage=EpisodeList / 태완 (그림) https://comic.naver.com/community/u/_ridr1?lastPage=EpisodeList,174화 완결,15세 이용가,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!공부, 싸움, 외모.뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?[system] 학교 일진녀와 키스하십시오","611,464",총 174화,완결,#드라마 #사이다 #집착녀 #현대 #게임 #상태창 #이능력 #우정 #액션
