contentId,age
65171279,all
62897494,all
61822163,all
65165269,all
64409505,all
59990686,all
56566288,all
61614855,all
59978716,all
63818432,all
53483967,all
65137592,all
59883324,all
65048686,all
53216022,all
64688681,all
63727156,15세
61913707,all
62851300,15세
65100136,all
64516751,15세
56611441,all
62449485,15세
53462628,all
63302358,all
64005966,all
64317487,19세
62435929,all
55152866,all
58578389,all
62794761,all
64060915,all
63529460,19세
56762916,all
62473764,19세
62812341,all
58094906,all
63327017,all
55889891,all
64810197,19세
62189532,all
55566760,15세
65127473,all
61313362,all
58905085,all
61393986,all
47118512,all
64685509,all
59976402,all
57711142,all
56443245,all
60959717,all
62743785,15세
61627410,all
59422125,all
64649220,15세
64096846,all
64424193,all
55213891,all
64862108,19세
63653603,19세
63329316,all
63767910,all
58672424,all
51396640,all
63629025,all
63416079,19세
61871569,all
62692635,all
62271900,all
54740855,all
58144564,all
63424620,15세
61715316,all
54728055,all
56760327,all
64412056,15세
63639661,19세
64167676,all
63243084,19세
57925268,15세
63409437,all
61770596,15세
64084597,15세
63056941,all
61641112,15세
63647635,all
48697412,all
60083487,all
58884852,all
59495324,all
63216619,all
60257175,15세
64165705,15세
55815081,all
64890898,15세
57492806,all
62977704,all
54884637,15세
64671713,all
63653616,15세
53114649,all
62313653,15세
57464612,all
63416039,15세
62795051,all
48511988,15세
60564644,all
62474622,15세
60894798,all
59885723,all
63432582,all
63826206,15세
61551141,15세
63924575,all
60609590,all
61345288,all
62589714,all
62756506,all
61335525,all
60355768,15세
63075812,15세
62473721,15세
58409509,all
57301273,all
62345153,all
58493971,all
62757644,15세
53504913,15세
63376772,15세
62041103,all
60746456,all
61871204,19세
59150128,all
61871449,15세
63855150,all
61268805,all
56788173,all
54737612,all
61778913,all
60466803,all
53523799,all
64477354,all
64395656,15세
57855014,all
57164369,all
61458011,19세
61453509,15세
63866183,15세
63857841,all
63491808,15세
61289689,all
57520768,all
61453042,19세
63332969,15세
62140202,15세
59008253,all
56784798,all
59439137,all
60848955,all
64739191,15세
64438129,all
63956937,all
63460211,all
63082643,all
62968358,all
62955343,all
62942255,all
62830664,all
62767251,all
62676232,15세
62473886,all
62407115,15세
61880498,15세
61640511,15세
61551866,all
61403397,15세
61262517,all
61207639,all
61163740,15세
60982915,15세
60775036,all
60703095,all
60645694,all
60436204,all
60213137,all
60176642,15세
60080445,15세
60000788,all
59942846,15세
59748150,all
59359339,15세
58151153,all
57563035,all
57177092,all
56792553,all
56704800,all
56702100,15세
56529717,all
55310599,all
55014563,15세
54483390,all
54367994,15세
52990443,all
52381543,15세
48057888,all
65171279,all
65177005,all
63517874,all
55775689,all
62302584,all
61959401,all
60843998,all
54407499,all
60933368,all
54471153,all
55021766,all
56237804,15세
64206563,all
63857471,all
62000958,all
58725187,all
63680859,15세
62777301,19세
59990953,all
60907554,all
64037895,15세
61802808,all
63451062,all
62932344,all
49874664,all
56070306,all
62591854,all
59087644,all
61557271,all
64897059,all
61545032,all
62707053,all
56422254,all
62263317,all
64990914,all
64855921,all
62367218,15세
55268483,all
61754033,all
64370178,19세
65163128,all
59829512,all
64810797,all
62033250,all
53318356,all
60601122,15세
63046544,19세
56704518,all
63138359,all
61637198,all
59365151,all
63036130,all
63555983,all
63444992,all
64805774,15세
64366140,15세
54680399,all
64181951,all
62074243,all
63924220,15세
63031315,19세
60253679,19세
58274684,all
65144715,15세
64400897,all
53939289,all
64069979,15세
63187192,all
65146842,19세
63885776,15세
62164895,all
60722593,15세
64342292,all
60659272,all
57714526,15세
58220529,15세
63129547,15세
61754529,19세
64822204,all
64814065,all
59460503,all
62829425,all
59902182,15세
61641059,all
63989006,all
63825276,all
63056545,all
64982864,15세
60251820,all
64391630,all
61150459,all
47497773,all
60798755,15세
63140194,all
52272442,all
64232648,all
64205666,all
62244482,15세
55621949,all
59833265,all
58483147,all
52199324,all
63767937,15세
64175806,19세
56029598,all
58167902,all
64823992,15세
61285741,all
58710388,all
63024185,15세
49887474,all
55783243,all
61641065,all
61674735,all
55630259,all
58371384,all
64621056,all
63612419,all
63308461,15세
57671122,all
64028084,15세
59492382,all
60536198,all
61139680,all
60105810,15세
54128129,all
51478643,15세
64974992,15세
62472330,all
64630721,all
60659589,15세
64974859,19세
58444049,all
56677090,all
57645795,all
58717191,all
64170161,15세
57706650,all
53352153,all
64989212,15세
62100777,all
58509736,all
