contentid,title,author,total_episodes,age_limit,view_count,comment_count,last_upload_day,serialization_status,cycle,badges,brief_text,hashtags
65171279,괴담에 떨어져도 출근을 해야 하는구나,백덕수 (글) / 정보없음 (그림),64,0,"1,164만",2.8만,24.10.17,연재,매일,3다무/기다무,소중한 연차까지 내고 갈 정도로 좋아하던 '어떤 현대판타지' 팝업 이벤트.<br>그리고 그날 그 현판 속으로 빙의당했다.<br>무려 유명 대기업에 막 취직한 신입사원으로!<br><br>복지 좋고 연봉 좋고 직속 상사들까지 친절하고 유능한 꿈의 직장.<br>나만이 아는 세계관 정보들을 잘 활용해 초고속 승진을 거듭하는 나!<br>행복하냐고요?<br><br>집에 보내주세요 제발.<br><br>※특이사항 : 장르가 괴담임.,#회사원 #고인물 #착각 #미스테리
62897494,사랑받는 막내는 처음이라,나정 (글) / 와와치 (그림) / 미래나비 (원작),45,0,"1,734만",1.1만,24.10.13,연재,월,3다무/기다무,"세계의 멸망을 막을 유일한 희망으로서<br>모두에게 희생을 강요받는 삶만 99번째.<br>제발 이번이 끝이길 바랐는데…!<br><br>""아가씨가 태어나셨어요!""<br><br>기어코 100번째 삶을 시작하고 말았다.<br><br>어차피 또 영웅 취급하며 희생시키겠지.<br>그렇게 생각했는데<br> <br>""무사히 태어나줘서 고맙구나""<br>""언니가 다 구해주께!""<br>""우리 막내 웃는 얼굴 나한테도 보여주면 안 될까?""<br>""아기야 나 보고 싶었어?""<br><br>이번 생은 조금… 이상하다?",#로맨스판타지 #육아물 #먼치킨 #성장물 #환생물 #가족물 #시한부 #집착남 #대형견남 #직진남 #능력녀 #걸크러쉬 #소꿉친구 #힐링물
61822163,악당들에게 키워지는 중입니다,율리(Terapin) (글) / 이아송 (그림) / 자은향 (원작),72,0,"2,899.1만",2.1만,24.10.13,연재,월,3다무/기다무,즐겨보던 로판 소설의 엑스트라 소녀로 빙의한 지 1년 만에 내가 곧 쫓겨날 신세라는 걸 알게 됐다. <br>차라리 내 발로 집을 나가겠다고 했더니 <br><br>“사실은 이 아이가 내 따님입니다. 그렇지 따님?” <br><br>사이코패스 망나니 공자의 눈에 들어 버렸다? <br><br>‘놀이 후에 상대한테 준 돈이 섬 하나를 살 정도였다던데?’ <br>그에게 어울려 주면 일확천금을 얻을 수 있다기에 훌륭히 딸 노릇을 하고 몇 달 뒤 두둑해진 통장과 함께 자의 반 타의 반 집을 나왔다.<br> <br>“내가 떠나라고 할 때까지 계속 내 곁에 있거라.” <br><br>그런데 나를 놀잇감으로 여기던 아빠가 날 찾아와 붙잡는다.,#로맨스판타지 #육아물 #성장물 #빙의물 #가족물 #수인물 #신데렐라 #능력녀 #무심녀 #철벽녀 #상처녀 #순진녀 #다정녀 #치유물 #힐링물
65165269,검신광룡,두햇님 (글) / 이오 (그림) / 사도연 (원작),25,0,131.1만,934,24.10.12,연재,월,3다무/기다무,'그러니 부탁함세… 부디 내 손녀 딸을….'<br><br>무림인들에겐 검재(劍災) 혹은 검괴(劍怪)라 불리고 백성들에겐 검선(劍仙).<br>약 삼십 년 전 돌연 자취를 감췄던 무당파 사상 최강 최악의 괴물이던 정현은 천마가 죽은 뒤 자취를 감춘다.<br><br>그리고 얼마나 시간이 흘렀을까 정현은 반로회동을 한 채 웬 여자아이 하나를 데리고 다시 강호에 모습을 드러낸다.<br>자신 인생의 유일한 호적수이자 친우였던 천마의 손녀 소진을 데리고 무당산으로 가는 여로에 오른 정현.<br><br>두 사람의 여로는 무사히 마무리가 될 수 있을까?,#정통 #귀환 #무림 #육아 #검 #도사 #망나니 #무당 #협객 #조력자 #깽판 #영웅/신화
64409505,흑막 범고래 아기님,Team_제나 Q00 (글) / 도힌 Team_제나 (그림) / 문시현 (원작),39,0,762.4만,5843,24.10.13,연재,월,3다무/기다무,“안녕 아저씨!”<br><br>어느 날 내 앞에 웬 범고래 꼬맹이가 나타났다.<br><br>“교육기관이라는 거 어디 있는지 알아? 나 가야 해. 거기.”<br>“길 한참은 잘못 들었는데.”<br><br>아무래도 이건 내 딸인 것 같은데.<br><br>“뭘 봐 아저씨? 한 입 줘?”<br><br>내가 아비인 줄 모르는 것 같다.<br><br>* * *<br><br>……라고 생각이나 하고 있겠지?<br><br>그렇게 생각한다면 오산이다 애비야!<br><br>내 이름은 칼립소.<br>4회차 회귀자.<br><br>남들은 책에 빙의에서 잘만 꿀 빨며 살던데 내 인생은 망했다.<br><br>심지어 육아물에 빙의했는데!<br>3회차 내 인생은 몰살 엔딩이었다!<br><br>‘이 여주에 미친 남주 XX들아!’<br><br>그렇다.<br>어째서인지 나는 무엇을 하든 22살 생일을 못 넘기고 회귀한다.<br><br>그러나 용이 폭주해 멸망하던 3회차에서 우연히 발견했다.<br>용이 폭주하면 차원이 일그러진다는걸!<br><br>저걸 통해 내가 살던 집으로 돌아갈 수 있을까?<br><br>4회차 다시 회귀했을 때 나는 이 용님을 이용해 보기로 했다.<br>애비? 오빠들? 다 용을 만나기 위한 발판에 불과하다!<br><br>“기다려라 용님아!”<br><br>[이제 그만 죽고 싶지만 반복 회귀로 미쳐 버려서 해맑은 여주 X 황실과 잘못된 계약으로 묶여 버린 용 대공 / 육아물 / 함께 살짝 돌아버린 여주의 가족들 / 약육강식이라고 들어봤냐? / 세 살 나이에 평정한 최강자 / 본인들은 해피한 가족 육아물],#로맨스판타지 #차원이동물 #빙의물 #회귀물 #초월적존재 #인외존재 #능력녀 #로맨틱코미디 #힐링물
59990686,당신의 죽음을 바칠 시간,맹 (글) / 아시스 (그림) / 원히트 (원작),96,0,435만,3917,24.10.13,연재,월,3다무/기다무,"마흔 살이었던 일리안이 눈을 뜨고 본 것은 작아진 손이었다.<br><br>늙은 용병이었던 그녀는 10년을 거슬러 열두 살의 어린아이<br>헤이븐 윈터가 되어 있었다!<br><br>우선 망해가는 가문도 다시 세워야 하고<br>과거로 돌아온 김에 이전 생에서 지키지 못한 것들도 지켜내야겠다.<br><br>그런데… 이전 생에서 거슬리던 녀석이 이번 생에서도 눈에 밟힌다!?<br><br>""너는 일리안 하인리히가 아니니까.""<br><br>도대체 과거의 나는 너에게 뭐였던 거야!",#로맨스판타지 #성장물 #빙의물 #왕족/귀족 #연하남 #츤데레남 #능력남 #능력녀 #자상녀 #외유내강 #걸크러쉬 #순정남 #상처남 #집착남 #존댓말남
61614855,철혈검가 사냥개의 회귀,이산책(REDICE STUDIO) (글) / 설아랑 (그림) / 레고밟았어 (원작),83,0,"2,328.1만",1.1만,24.10.13,연재,월,3다무/기다무,"바스커빌 가문의 사냥개 '비키르'.<br><br>사냥개로서 가문에 충성한 보답은 <br>모함과 누명으로 얼룩진 단두대의 칼날이었다.<br><br>""다시는 토끼를 잡고 나면 <br>삶아지는 사냥개처럼 살지 않겠노라.""<br><br>그런 그에게 죽음 대신 찾아온 뜻밖의 기회.<br><br>어둠 속에서 송곳니를 갈고닦는 <br>비키르의 눈이 붉게 빛났다.<br><br>""기다려라. 휴고. 이번엔 반드시 네 목을 물어뜯어 주마.""<br><br>주인을 향한 사냥개의 잔혹한 핏빛 복수가 시작된다.",#퓨전 #복수 #생존 #회귀 #먼치킨 #천재 #노력 #성장 #검사 #마법사 #마검사
59978716,남편은 됐고 돈이나 벌렵니다,정보없음 (글) / 몰코 (그림) / 주해온 (원작),81,0,"3,357.5만",2.5만,24.10.13,연재,월,3다무/기다무,여친 있는 남자의 아내가 되어 버렸다.<br>음 건드리지 말아야겠지?<br><br>“그럼 넌 바닥에서 자.”<br>“뭐?”<br><br>싫은 눈치다.<br>그래 바닥은 딱딱하지.<br>그렇다면 어쩔 수 없다.<br><br>“손만 잡고 잘게. 누나 믿지?”<br><br>그런데 어쩌다 남편과 첫날밤에 침대를 부숴 버린 걸까…….<br><br>*<br><br>황제의 눈밖에 나 유폐당한 황녀 아리스티네.<br>사실 그녀는 미래와 현재 과거를 모두 볼 수  있는 <제왕안>의 소유자였다.<br>정략혼의 희생양이 된 그녀는 괴물 같은 야만인과 맺어지는데…….<br><br>“가장 귀한 것을 내 신부님께 드려야지.”<br><br>괴물이라던 예비 남편님이 지나치게 멀쩡하다.<br><br>하지만 이 떡은 남의 떡.<br><br>‘돈이나 벌어야지.’<br><br>자고로 황금 보기를 내 것같이 하라고 했다.<br><br><br><남편은 됐고 돈이나 벌겠습니다.><br>과연 그녀는 돈방석에 앉아 자유롭게 사는 꿈을 이룰 수 있을까?<br>아니면 두 마리의 토끼를 동시에 잡게 될까?,#로맨스판타지 #착각물 #복수물 #암투물 #첫사랑 #운명 #초월적존재 #다정남 #순정남 #왕족/귀족 #조신남 #능력녀 #엉뚱발랄녀 #사이다녀 #정략결혼
63818432,랭커를 위한 바른 생활 안내서,샘미 (글) / 직믹 (그림) / 톄제 (원작),45,0,960.3만,8537,24.10.13,연재,월,3다무/기다무,21세기 세상의 장르는 '판타지'<br>온 국민들에게 충격과 공포를 안겨준 '악몽의 3월' 사건을 겪고<br>절망으로 가득했던 대한민국에 최초의 'S급'이 내려왔다!<br><br>S급의 이름은 '마술사왕 죠'<br>별수저 잘 잡아 천상계 랭커 1위가 되었지만<br>신비주의를 고수하며 은둔 생활 중인 '죠'의 정체는?<br><br>바로 견씨 일가의 장녀이자 평범한 삼수생 견지오.<br><br>[ 제발! 당신이 누군지 압니다. 마술사왕. ] <br><br>그녀 앞에 갑자기 등장한 회귀자 백도현부터.<br><br>[순위가 변동합니다.]<br>[견지오 님의 현재 국내 순위는 2위입니다.]<br><br>네…? 뭐야 이게. 내 1위 돌려줘요!!<br>별님 나 꽃길만 걷게 해준다며….<br><br>[성약성이 당신의 뻔뻔한 인성질에 감탄합니다.]<br><br>느닷없이 내려간 헌터 랭킹 순위까지.<br>그녀의 평화롭던 일상에 금이 가기 시작하는데...<br>사람 구실하게 하려는 주변으로부터 안락하고 게으른 백수 인생을 사수해야만 한다!<br><br>카카페 인기 로맨스 판타지 웹소설<br>톄제 원작의 <랭커를 위한 바른 생활 안내서> 완벽 비주얼화!,#로맨스판타지 #여주판타지 #먼치킨 #운명 #인외존재 #초월적존재 #역하렘 #순정남 #능력남 #능력녀 #걸크러쉬 #계약관계 #드라마 #로맨틱코미디
53483967,무련전봉,막묵 (글) / 벽가벽 (그림) / 막묵 (원작),1378,0,"4,333.3만",1.6만,24.10.17,연재,월 목 토,3다무/기다무,제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 ‘능소각’. <br>3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 ‘양준’은 어느 날 의문의 서책 한 권을 발견한다. <br>그 서책에는 무도(武道)를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데…… <br><br>과연 ‘양준’은 그 서책을 통해 무도(武道)를 익히고 험난하고 외로운 싸움에서 무도(武道)의 최고봉까지 올라설 수 있을 것인가?,정보없음
