titleId,title,writers,weekday,upload_day,age_rating,brief_text,interest_count,total_episodes,status,hashtags
037,참교육,채용택 (글)/ 한가람 (그림),월요웹툰,참교육,15세 이용가,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!<br><부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!<br><br><br><br><br><br><br><br><br>,"942,462",총 166화,연재 중,#액션 #사이다 #학원액션 #자극적인 #사회고발 #참교육 #블루스트링 #학원물
830015,어느날 갑자기 가슴이 커짐,물렁이 (글/그림),월요웹툰,어느날 갑자기 가슴이 커짐,전체연령가,이것은 행운인가 불운인가? 어느날 갑자기 예상치 못하게 가슴 사이즈가 A컵에서 H컵이 된다면?!<br>단순하게만 생각했던 신체의 변화는 점점 걷잡을 수 없이 흘러가고<br>아무도 이 상황에 대한 진단을 내려주지 못하는 가운데 <br>정신적으로도 변화가 생기며 인생 최대의 위기를 맞게 되는데... <br>가슴이 커진다는 판타지 같은 일을 통해 삶과 죽음이라는 정말로 현실적이고 가장 기본적인 인생의 가치와 가족의 의미에 대해 다시 한 번 깨닫게 되는 이야기.<br><br><br><br>,"52,370",총 11화,연재 중,#일상 #감성적인 #공감 #하이퍼리얼리즘
774866,똑 닮은 딸,이담 (글/그림),월요웹툰,똑 닮은 딸,15세 이용가,'우리 엄마가 살인마인 것 같다.' <br>성적 우수 품행 단정 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다.<br>그러나 남동생이 강물에서 시체로 떠오른 그 날 소명의 머릿속엔 섬뜩한 의혹이 피어오른다.<br>자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸 두 사람의 잔혹한 모녀 스릴러!<br>2020 지상최대공모전 2기 우수상 수상작.<br><br><br><br><br><br><br>,"652,529",총 129화,연재 중,#스릴러 #고자극드라마 #자극적인 #시리어스 #미스터리 #범죄
817859,왕과의 야행,보리 (글/그림),월요웹툰,왕과의 야행,18세 이용가,젊은 왕과 아름다운 여인이 발을 사이에 두고 앉아있다.<br>가느다란 흰 손가락으로 책장을 넘기는 여인은<br>고혹적인 목소리로 글을 읽어 내려가는데...<br><br>전하. 음양이란 서로 감응해야 응하는 것이옵니다.<br>몸과 마음이 무르익어 한 배에 탄 채 애락을 느끼니<br>그 어찌 화락하지 않으오리까?<br><br>백일의 겨울밤 동안 왕에게 책을 읽어주는 여인.<br>아슬아슬한 긴장감 끝에 순식간에 휩쓸린다.<br>서로에게 깃들고 스며든다.<br><br>숨겨뒀던 비밀이 터져 나와 모든 것을 깨울 때까지<br>왕과 여인은 그저 꿈 안에 있구나.<br><br><br><br><br><br><br><br>,"256,189",총 49화,연재 중,#로맨스 #동양풍로맨스 #자극적인 #동양 #왕족/귀족 #나쁜남자 #공식미녀
183559,신의 탑,SIU (글/그림),월요웹툰,신의 탑,12세 이용가,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년<br>그리고 그런 소년을 시험하는 탑<br><br><br><br><br><br><br><br><br><br>,"1,916,426",총 644화,연재 중,#판타지 #명작 #이능력 #배틀 #모험 #전쟁 #액션 #성장물 #서바이벌
602910,윈드브레이커,조용석 (글/그림),월요웹툰,윈드브레이커,12세 이용가,혼자서 자전거를 즐겨타던 모범생 조자현.<br>원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...<br>자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!<br><br><br><br><br><br><br><br><br>,"1,178,753",총 517화,연재 중,#스포츠 #현대 #우정 #라이벌 #청춘 #성장물 #학원물 #성장드라마
822657,환생천마,JP (글)/ 부겸 (그림)/ 장영훈 (원작),월요웹툰,환생천마,15세 이용가,철혈의 맹주 강호의 절대자 '천하진'. 가문의 수치라 불리는 망나니 '벽리단'의 몸으로 깨어나다! 취미는 사기도박 검은 창고에 박아둔지 오래. 하루아침에 천하제일인에서 천하의 쓰레기가 된 그는 다시 검을 잡고 전생에서 이루지 못한 경지에 오르고자 한다.<br><br><br><br><br><br><br><br><br>,"116,763",총 38화,연재 중,#무협/사극 #사이다 #동양 #환생 #액션 #고인물 #환골탈태 #동양풍판타지
822573,귀촌리,황양 (글)/ 이대한 (그림),월요웹툰,귀촌리,15세 이용가,평범한 시골 마을 '귀촌리'를 찾은 '허무명'. 그는 돌아가신 할머니의 빈 집에 조용히 숨어든다. <br>그런데 집이 이상하리만큼 깔끔하다. 할머니가 돌아가신 건 3년 전인데? <br>어쩐지 마을 사람들은 이방인 무명의 방문을 달가워 하는 것 같지 않다. 아니 실은 경계하는 것 같다. <br>그리고 그 날을 기점으로 마을 사람들이 하나 둘 씩 사라지기 시작한다.<br><br><br><br><br><br><br><br>,"281,396",총 34화,연재 중,#스릴러 #고자극스릴러 #자극적인 #시리어스 #피카레스크 #범죄 #오컬트
654774,소녀의 세계,모랑지 (글/그림),월요웹툰,소녀의 세계,전체연령가,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나<br>여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물<br><br><br><br><br><br><br><br><br>,"1,124,754",총 434화,휴재,#드라마 #설렘폭발 #공감 #우정 #청춘 #외유내강녀 #명랑녀 #햇살녀
796075,절대검감,김두루미 (글)/ 티아이 (그림)/ 한중월야 (원작),월요웹툰,절대검감,12세 이용가,단전이 부숴졌다는 이유로 집에서는 내놓은 자식 취급을 받던 소운휘는 혈교에 납치되어서도 삼류 첩자로 살아왔다.<br>어느 날 전설로만 알려진 검선비록을 찾는데 이용당하다 죽은 운휘는 10년 전 혈교에 납치되던 그 날로 돌아가게 되고 검의 목소리를 듣는 신비한 능력을 얻는다.<br><br><br><br><br><br><br><br><br><br>,"187,159",총 103화,연재 중,#무협/사극 #동양 #이능력 #모험 #액션 #성장물 #환골탈태 #회귀 #판무
